$insert_id,distinct_id,time,eventName
185f88a13af278810b8b8fdb8a99a9aaaf8300ef,fd0d3327-7bce-5ac6-b9a4-22aeba257e9d,2024-06-05 03:53:16,pageView
89c94471d5929116df5da03e2ed0463c80cc2040,aeee8bd9-5ee9-549b-bc66-aed4651f8c41,2024-05-31 05:51:38,appInstall
6df3182207849d41fa21676623e180ad30e9f24e,aeee8bd9-5ee9-549b-bc66-aed4651f8c41,2024-06-03 06:47:36,appInstall
4996884d1f7c9a393cb84c811fafbccb2b005ba8,fb357d8e-c5f8-5b3f-89b9-7b2e519a4524,2024-05-23 07:40:33,appInstall
ac140a03a7406ca24d010bcd3ce00707c05222ff,a29fa2eb-b020-5bab-a1ac-c2a5c6fc1231,2024-05-19 05:50:26,appInstall
1b5217bfa928b05ec4f8acceae4766b0b4a5ed0f,2277376d-8d09-5e18-a7f3-2e1206ad3f42,2024-05-18 04:15:51,appOpen
d59d8c6fb627f6b13596369a69d596aafbc30ddf,ef058fb9-3ec4-5030-9a64-893b61bf8c22,2024-05-06 09:50:40,appInstall
facb0f69e4c278d7c676125d1078d663a83b5ab2,ef058fb9-3ec4-5030-9a64-893b61bf8c22,2024-06-08 03:55:47,pageView
32c2b4a0fbdc95b6aca79a989ef1246c4ac11664,ef058fb9-3ec4-5030-9a64-893b61bf8c22,2024-05-15 11:02:35,pageView
47ff134124d646e0a30f7554770a0948513c2527,1ad04ac8-e4e3-5404-9798-10186537c966,2024-05-04 12:17:08,appInstall
e9ae09c2e962438b5222530b503348ec9e6756b3,bb15e7c2-c529-5105-b7a0-86d1ca55c0f0,2024-05-12 10:42:07,appOpen
bfec7ab4177a56714ed6beb7e440bb1761f4ead7,bb15e7c2-c529-5105-b7a0-86d1ca55c0f0,2024-05-22 07:57:35,appInstall
d01e915d88d38a4efa3c9f2375853ba54b0b3c95,d56ee0b4-ac8b-5bcb-a057-4d2663e3657b,2024-05-24 05:56:03,appInstall
8e3cbce5f72b5e3ed8e485e90b256b83bda8a29b,d56ee0b4-ac8b-5bcb-a057-4d2663e3657b,2024-05-29 08:07:48,appOpen
75f59d8bb95497b28b6c7bd8b35d2500fe33b296,d56ee0b4-ac8b-5bcb-a057-4d2663e3657b,2024-06-08 07:40:20,appInstall
048373e2d26b4c045e9a5eab2e1d8d7fa5f10083,d56ee0b4-ac8b-5bcb-a057-4d2663e3657b,2024-05-18 08:18:02,pageView
